Cumulative Rewards, Average Rewards, No Timesteps
-719.9780133403273, -12.63119321649697, 57
-1282.5341795702243, -13.50035978494973, 95
-751.1880232861981, -13.178737250635056, 57
-780.8363115694692, -12.394227167769353, 63
-1705.6230482115902, -14.213525401763253, 120
-1042.1438719165421, -12.406474665673121, 84
-1574.9304719418567, -13.346868406286921, 118
-887.887915365251, -12.162848155688371, 73
-1813.990999107561, -14.991661149649264, 121
-850.7027249044465, -12.152896070063521, 70
-1943.0351147806296, -14.832329120462822, 131
-862.7611987450582, -11.658935118176462, 74
-746.4493368150106, -14.083949751226616, 53
-752.7669895453589, -13.206438413076473, 57
-786.254969192519, -12.48023760623046, 63
-1195.532988518575, -13.137725148555768, 91
-1386.2213884508774, -13.862213884508774, 100
-947.1569150433171, -12.300739156406715, 77
-799.607904269614, -12.493873504212718, 64
-718.1782260619689, -13.057785928399435, 55
-2157.575542481907, -15.634605380303675, 138
-772.6629506374452, -13.797552689954378, 56
-791.7510777404351, -12.56747742445135, 63
-1010.2894855421982, -11.351567253283127, 89
-1210.7047093319043, -11.869654013057884, 102
-1066.1343798403816, -12.844992528197368, 83
-847.0213312281245, -12.45619604747242, 68
-1138.3600532979672, -12.935909696567808, 88
-752.0738302112081, -12.747014071376409, 59
-722.662018668403, -13.382629975340796, 54
-827.7544231104879, -12.354543628514744, 67
-683.018169332409, -12.648484617266833, 54
-1994.1958374075787, -14.993953664718637, 133
-2050.6906566682237, -14.647790404773026, 140
-1273.9816485667254, -13.410333142807636, 95
-2350.3267855718036, -16.209150245322782, 145
-910.6860053583164, -10.00753852042106, 91
-1325.1735155078272, -12.742053033729109, 104
-1275.7354372751681, -12.886216538133011, 99
-1291.8472142989226, -13.318012518545594, 97
-785.0985570236552, -13.084975950394254, 60
-1678.4358194802228, -13.645819670570917, 123
-1208.1192554669349, -11.729313159873154, 103
-743.9032950679289, -12.60853042488015, 59
-782.3151314361413, -12.035617406709866, 65
-788.0792254124189, -12.710955248587402, 62
-1386.7401339161784, -13.867401339161784, 100
-1247.6275730028044, -13.561169271769613, 92
-1742.6234113637381, -14.167670011087301, 123
-1213.365677945111, -13.046942773603345, 93
-729.9781451314724, -12.585830088473662, 58
-1166.225013396438, -12.276052772594085, 95
-785.1057649240673, -11.71799649140399, 67
-1679.6521974830669, -13.767640962975959, 122
-1386.8501828229328, -13.208096979266026, 105
-757.6994221532868, -12.842363087343845, 59
-1832.8031550733217, -14.318774649010326, 128
-1968.678156562345, -14.914228458805644, 132
-713.9506707598263, -9.037350262782612, 79
-756.9095607978252, -9.119392298768979, 83
-1686.272805667721, -14.052273380564342, 120
-1123.6669525638126, -11.465989311875639, 98
-1542.9882076905594, -14.027165524459631, 110
-715.4434394641887, -13.008062535712522, 55
-1244.9563768814007, -12.834601823519595, 97
-1127.9456841344027, -12.964892921085088, 87
-1276.143404602273, -13.43308846949761, 95
-841.8690426296524, -12.755591554994734, 66
-1790.3645325383604, -14.322916260306883, 125
-865.7877701548784, -12.194193945843358, 71
-802.007194069368, -13.147658919169967, 61
-1052.9434229597723, -12.387569681879674, 85
-1285.2168158286563, -13.387675164881836, 96
-1103.6987642807057, -12.833706561403556, 86
-1002.8341720761418, -12.38066879106348, 81
-1024.8829216586455, -12.200987162602923, 84
-743.2043837046623, -12.596684469570548, 59
-1256.465802909885, -13.510384977525646, 93
-1192.0192561752156, -12.416867251825161, 96
-1818.9502289728973, -14.551601831783179, 125
-804.8365568608199, -13.194041915751146, 61
-781.1026262718348, -13.703554846874294, 57
-842.8384111151239, -12.040548730216056, 70
-731.9385387578, -11.998992438652458, 61
-875.2115634125385, -12.326923428345612, 71
-807.4206018961618, -12.421855413787105, 65
-1373.1212329087768, -13.595259731770067, 101
